seatid,sold_first_hour
120000,1
120001,0
120002,0
120003,0
120004,0
120005,0
120006,0
120007,0
120008,0
120009,0
120010,0
120011,0
120012,0
120013,1
120014,0
120015,0
120016,1
120017,0
120018,1
120019,0
120020,0
120021,1
120022,0
120023,0
120024,0
120025,1
120026,0
120027,0
120028,0
120029,0
120030,0
120031,0
120032,0
120033,0
120034,0
120035,1
120036,0
120037,1
120038,0
120039,0
120040,0
120041,0
120042,0
120043,0
120044,0
120045,0
120046,0
120047,0
120048,1
120049,0
120050,0
120051,1
120052,0
120053,0
120054,0
120055,0
120056,1
120057,1
120058,0
120059,1
120060,0
120061,0
120062,0
120063,1
120064,1
120065,0
120066,0
120067,0
120068,1
120069,0
120070,1
120071,0
120072,0
120073,0
120074,0
120075,0
120076,1
120077,0
120078,0
120079,0
120080,0
120081,0
120082,0
120083,1
120084,0
120085,0
120086,1
120087,0
120088,0
120089,1
120090,0
120091,0
120092,0
120093,0
120094,0
120095,1
120096,1
120097,0
120098,0
120099,0
120100,0
120101,1
120102,0
120103,1
120104,0
120105,0
120106,0
120107,1
120108,0
120109,0
120110,0
120111,0
120112,0
120113,0
120114,1
120115,0
120116,0
120117,1
120118,1
120119,0
120120,0
120121,1
120122,0
120123,1
120124,0
120125,0
120126,0
120127,1
120128,0
120129,0
120130,1
120131,0
120132,0
120133,0
120134,1
120135,0
120136,0
120137,1
120138,0
120139,0
120140,0
120141,0
120142,0
120143,1
120144,1
120145,0
120146,0
120147,0
120148,0
120149,0
120150,1
120151,1
120152,0
120153,0
120154,1
120155,0
120156,1
120157,0
120158,0
120159,0
120160,0
120161,0
120162,0
120163,0
120164,0
120165,0
120166,0
120167,0
120168,0
120169,0
120170,0
120171,0
120172,0
120173,0
120174,0
120175,0
120176,0
120177,0
120178,1
120179,0
120180,0
120181,0
120182,0
120183,1
120184,0
120185,0
120186,0
120187,0
120188,0
120189,0
120190,0
120191,1
120192,1
120193,1
120194,0
120195,0
120196,0
120197,0
120198,1
120199,0
120200,0
120201,1
120202,0
120203,0
120204,0
120205,1
120206,0
120207,0
120208,1
120209,0
120210,0
120211,0
120212,0
120213,0
120214,1
120215,1
120216,0
120217,0
120218,0
120219,0
120220,0
120221,1
120222,0
120223,0
120224,1
120225,0
120226,0
120227,1
120228,0
120229,0
120230,0
120231,0
120232,1
120233,0
120234,1
120235,0
120236,0
120237,0
120238,0
120239,0
120240,0
120241,1
120242,0
120243,0
120244,0
120245,0
120246,0
120247,0
120248,0
120249,0
120250,0
120251,1
120252,0
120253,0
120254,0
120255,0
120256,0
120257,1
120258,1
120259,0
120260,0
120261,1
120262,0
120263,1
120264,1
120265,1
120266,1
120267,1
120268,0
120269,0
120270,0
120271,1
120272,0
120273,0
120274,1
120275,0
120276,0
120277,1
120278,0
120279,0
120280,0
120281,0
120282,0
120283,1
120284,0
120285,0
120286,0
120287,0
120288,0
120289,0
120290,0
120291,0
120292,0
120293,0
120294,0
120295,0
120296,0
120297,1
120298,0
120299,0
120300,0
120301,0
120302,0
120303,1
120304,0
120305,0
120306,1
120307,0
120308,0
120309,0
120310,0
120311,1
120312,0
120313,0
120314,1
120315,0
120316,1
120317,0
120318,0
120319,0
120320,1
120321,0
120322,0
120323,0
120324,0
120325,0
120326,0
120327,0
120328,0
120329,0
120330,1
120331,0
120332,0
120333,0
120334,0
120335,0
120336,0
120337,0
120338,1
120339,0
120340,0
120341,0
120342,0
120343,0
120344,0
120345,1
120346,1
120347,0
120348,0
120349,0
120350,1
120351,1
120352,1
120353,1
120354,0
120355,0
120356,0
120357,0
120358,0
120359,0
120360,0
120361,0
120362,0
120363,1
120364,1
120365,0
120366,1
120367,0
120368,0
120369,0
120370,1
120371,0
120372,0
120373,0
120374,0
120375,0
120376,0
120377,1
120378,0
120379,0
120380,1
120381,0
120382,0
120383,0
120384,0
120385,0
120386,1
120387,0
120388,1
120389,0
120390,0
120391,0
120392,0
120393,0
120394,1
120395,1
120396,0
120397,1
120398,0
120399,1
120400,0
120401,0
120402,0
120403,0
120404,0
120405,0
120406,0
120407,0
120408,0
120409,0
120410,0
120411,0
120412,0
120413,1
120414,0
120415,0
120416,0
120417,0
120418,1
120419,0
120420,0
120421,1
120422,0
120423,0
120424,0
120425,0
120426,0
120427,0
120428,0
120429,1
120430,0
120431,0
120432,0
120433,0
120434,0
120435,0
120436,0
120437,0
120438,0
120439,0
120440,0
120441,0
120442,0
120443,0
120444,0
120445,0
120446,0
120447,0
120448,1
120449,1
120450,1
120451,0
120452,1
120453,0
120454,1
120455,0
120456,0
120457,0
120458,1
120459,1
120460,0
120461,0
120462,0
120463,0
120464,0
120465,0
120466,1
120467,0
120468,0
120469,1
120470,0
120471,0
120472,1
120473,0
120474,1
120475,0
120476,0
120477,0
120478,0
120479,0
120480,0
120481,1
120482,0
120483,1
120484,0
120485,0
120486,0
120487,1
120488,1
120489,0
120490,0
120491,0
120492,1
120493,0
120494,0
120495,0
120496,1
120497,0
120498,1
120499,0
120500,0
120501,0
120502,0
120503,1
120504,0
120505,0
120506,1
120507,0
120508,1
120509,0
120510,0
120511,1
120512,0
120513,0
120514,0
120515,1
120516,0
120517,0
120518,0
120519,0
120520,0
120521,0
120522,0
120523,0
120524,0
120525,1
120526,0
120527,1
120528,1
120529,0
120530,0
120531,0
120532,0
120533,1
120534,0
120535,0
120536,0
120537,0
120538,0
120539,0
120540,0
120541,0
120542,0
120543,0
120544,1
120545,0
120546,0
120547,0
120548,1
120549,0
120550,0
120551,0
120552,0
120553,1
120554,0
120555,0
120556,0
120557,0
120558,0
120559,1
120560,0
120561,1
120562,0
120563,0
120564,0
120565,1
120566,1
120567,1
120568,0
120569,0
120570,0
120571,1
120572,0
120573,0
120574,0
120575,0
120576,0
120577,0
120578,1
120579,0
120580,1
120581,0
120582,0
120583,0
120584,0
120585,1
120586,0
120587,0
120588,1
120589,0
120590,0
120591,1
120592,0
120593,1
120594,0
120595,1
120596,0
120597,1
120598,0
120599,1
120600,1
120601,0
120602,0
120603,0
120604,1
120605,0
120606,0
120607,0
120608,0
120609,0
120610,0
120611,0
120612,0
